name,team,battingStyle,bowlingStyle,playingRole,playerId
Najmul Hossain Shanto,Bangladesh  ,Left hand Bat,Right arm Offbreak,Top order Batter,1
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter,2
Litton Das,Bangladesh,Right hand Bat,None,Wicketkeeper Batter,3
Shakib Al Hasan(c),Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,4
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,5
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,6
Nurul Hasan,Bangladesh,Right hand Bat,None,Wicketkeeper Batter,7
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,8
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,9
Craig Ervine(c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,10
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,11
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,12
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder,13
Regis Chakabva,Zimbabwe ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,14
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,15
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder,16
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,17
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,18
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,19
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,20
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler,21
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,22
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,23
Nasum Ahmed, Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,24
Mohammad rizwan   ,Pakistan,Right hand Bat,None,Wicketkeeper Batter,25
Babar Azam(c),pakistan,Right hand Bat,Right arm Offbreak,Batter,26
Mohammad Nawaz,pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,27
Mohammad Haris, pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,28
Shan Masood,pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,29
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,30
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,31
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,32
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,33
